File,ChangeType,FileHuman,WorkingDir,PrevName,severity,severityIcon
reports/BusienssSupport.reportFolder-meta.xml," ",Report BusienssSupportFolder-meta.xml,M,,log,📰
reports/ContractManager.reportFolder-meta.xml," ",Report ContractManagerFolder-meta.xml,M,,log,📰
reports/InvoicingDashboard.reportFolder-meta.xml," ",Report InvoicingDashboardFolder-meta.xml,M,,log,📰
translations/en_US.translation-meta.xml," ",Translations en_US,M,,log,📰
translations/fr.translation-meta.xml," ",Translations fr,M,,log,📰
translations/nl_NL.translation-meta.xml," ",Translations nl_NL,M,,log,📰
triggers/TimeSheetTrigger.trigger,A,ApexTrigger TimeSheetTrigger,,,log,📰
triggers/TimeSheetTrigger.trigger-meta.xml,A,ApexTrigger TimeSheetTrigger,,,log,📰
manifest/package-all-org-items.xml," ",manifest/package-all-org-items.xml,M,,log,📰
manifest/package-backup-items.xml," ",manifest/package-backup-items.xml,M,,log,📰
